_id,link,analyze_date,"Предмет, выявленный Шайтан-Арбой","Предмет, выявленный роевым био-интеллектом"
5fb3b97e00881c332b56729f,https://gpn-audit.nemosoft.ru/#/pre-audit/edit/5fb3b97e00881c332b56729f,2023-02-08 14:10:18.772000+00:00,Service,Deal
639083607fc8981f6e29f2de,https://gpn-audit.nemosoft.ru/#/pre-audit/edit/639083607fc8981f6e29f2de,2022-12-07 15:13:40.633000+00:00,BankGuarantees,Loans
639083607fc8981f6e29f2dc,https://gpn-audit.nemosoft.ru/#/pre-audit/edit/639083607fc8981f6e29f2dc,2023-01-27 15:56:53.658000+00:00,BankGuarantees,Loans
63908ca4a1bded13e629f2e9,https://gpn-audit.nemosoft.ru/#/pre-audit/edit/63908ca4a1bded13e629f2e9,2023-01-27 16:02:07.552000+00:00,BankGuarantees,Loans
60002adfb08473039387bcae,https://gpn-audit.nemosoft.ru/#/pre-audit/edit/60002adfb08473039387bcae,2021-01-14 14:29:31.907000+00:00,DealIntellectualProperty,Deal
63468d42172785f510f15e21,https://gpn-audit.nemosoft.ru/#/pre-audit/edit/63468d42172785f510f15e21,2022-10-12 12:48:10.238000+00:00,SecuritiesTransactions,ParticipationInOtherOrganizations
5fdb2141542ce403c92b457c,https://gpn-audit.nemosoft.ru/#/pre-audit/edit/5fdb2141542ce403c92b457c,2020-12-17 13:21:14.427000+00:00,Deal,Service
5fb2796dd8c9df1ed1236da0,https://gpn-audit.nemosoft.ru/#/pre-audit/edit/5fb2796dd8c9df1ed1236da0,2020-11-16 16:10:35.523000+00:00,Deal,DealIntellectualProperty
63983b684b01c8adaa5a4ec7,https://gpn-audit.nemosoft.ru/#/pre-audit/edit/63983b684b01c8adaa5a4ec7,2022-12-13 11:47:42.519000+00:00,SecuritiesTransactions,ParticipationInOtherOrganizations
5fbbbd14a2b4551c061078e1,https://gpn-audit.nemosoft.ru/#/pre-audit/edit/5fbbbd14a2b4551c061078e1,2020-11-23 14:12:34.030000+00:00,Deal,DealIntellectualProperty
5ebd312d665f7603e03b11d2,https://gpn-audit.nemosoft.ru/#/pre-audit/edit/5ebd312d665f7603e03b11d2,2020-09-10 10:08:41.541000+00:00,RealEstate,RealEstateTransactions
60002adfb08473039387bcd3,https://gpn-audit.nemosoft.ru/#/pre-audit/edit/60002adfb08473039387bcd3,2021-01-14 14:29:44.394000+00:00,Deal,Service
638f0a7fb1363747e929f2e2,https://gpn-audit.nemosoft.ru/#/pre-audit/edit/638f0a7fb1363747e929f2e2,2022-12-06 12:41:43.933000+00:00,Service,GeneralContract
6380855c6a07f3e980b2c061,https://gpn-audit.nemosoft.ru/#/pre-audit/edit/6380855c6a07f3e980b2c061,2022-12-08 16:02:19.987000+00:00,Other,Deal
628771c24d1bfe5e5b297dfa,https://gpn-audit.nemosoft.ru/#/pre-audit/edit/628771c24d1bfe5e5b297dfa,2022-05-20 13:49:08.819000+00:00,AgencyContract,Deal
5fb3d79f78df3635f5441d3a,https://gpn-audit.nemosoft.ru/#/pre-audit/edit/5fb3d79f78df3635f5441d3a,2022-12-07 10:57:54.404000+00:00,Deal,Service
6380858d6a07f3e980b2c4f2,https://gpn-audit.nemosoft.ru/#/pre-audit/edit/6380858d6a07f3e980b2c4f2,2022-11-25 12:32:46.656000+00:00,GeneralContract,Service
638085686a07f3e980b2c124,https://gpn-audit.nemosoft.ru/#/pre-audit/edit/638085686a07f3e980b2c124,2022-11-25 12:30:38.681000+00:00,GeneralContract,Service
6380859c6a07f3e980b2c5a4,https://gpn-audit.nemosoft.ru/#/pre-audit/edit/6380859c6a07f3e980b2c5a4,2022-11-25 12:33:31.812000+00:00,GeneralContract,Service
638085966a07f3e980b2c560,https://gpn-audit.nemosoft.ru/#/pre-audit/edit/638085966a07f3e980b2c560,2022-11-25 12:33:11.357000+00:00,GeneralContract,Service
5fb376e4d8c9df1ed12372a1,https://gpn-audit.nemosoft.ru/#/pre-audit/edit/5fb376e4d8c9df1ed12372a1,2020-11-17 07:30:30.085000+00:00,GeneralContract,Deal
638085ad6a07f3e980b2c742,https://gpn-audit.nemosoft.ru/#/pre-audit/edit/638085ad6a07f3e980b2c742,2022-11-25 12:34:25.205000+00:00,GeneralContract,Service
63c506c9e2456d59975e1277,https://gpn-audit.nemosoft.ru/#/pre-audit/edit/63c506c9e2456d59975e1277,2023-02-01 03:29:20.068000+00:00,Renting,Deal
